Validation_Set,Topics,Alpha,Beta,Coherence
80% Corpus,7,0.7999999999999999,0.7,0.42516949812285076
80% Corpus,7,0.7999999999999999,0.7999999999999999,0.4371156429087736
80% Corpus,7,0.7999999999999999,0.8999999999999999,0.4097604073851132
80% Corpus,7,0.7999999999999999,symmetric,0.4064160043138098
80% Corpus,7,0.8999999999999999,0.5,0.4440502967819199
80% Corpus,7,0.8999999999999999,0.6,0.4499294238676018
80% Corpus,7,0.8999999999999999,0.7,0.4129453192666494
80% Corpus,7,0.8999999999999999,0.7999999999999999,0.4247959024951769
80% Corpus,7,0.8999999999999999,0.8999999999999999,0.4183100250596535
80% Corpus,7,0.8999999999999999,symmetric,0.39302659484486296
80% Corpus,7,symmetric,0.5,0.4489919338164266
80% Corpus,7,symmetric,0.6,0.43213866153221286
80% Corpus,7,symmetric,0.7,0.4315407115627326
80% Corpus,7,symmetric,0.7999999999999999,0.41522181289420096
80% Corpus,7,symmetric,0.8999999999999999,0.4112333040208665
80% Corpus,7,symmetric,symmetric,0.3605543020286027
80% Corpus,7,asymmetric,0.5,0.4378275343467726
80% Corpus,7,asymmetric,0.6,0.4719578605599374
80% Corpus,7,asymmetric,0.7,0.49257423086015517
80% Corpus,7,asymmetric,0.7999999999999999,0.48717428560030474
80% Corpus,7,asymmetric,0.8999999999999999,0.458951189290835
80% Corpus,7,asymmetric,symmetric,0.4119790943561779
80% Corpus,8,0.5,0.5,0.4570384636163132
80% Corpus,8,0.5,0.6,0.44007429211188476
80% Corpus,8,0.5,0.7,0.4227358787040164
80% Corpus,8,0.5,0.7999999999999999,0.4215532507924755
80% Corpus,8,0.5,0.8999999999999999,0.3931903458964714
80% Corpus,8,0.5,symmetric,0.4117941146915075
80% Corpus,8,0.6,0.5,0.46637229014652193
80% Corpus,8,0.6,0.6,0.4391019087873549
80% Corpus,8,0.6,0.7,0.4278649259337405
80% Corpus,8,0.6,0.7999999999999999,0.40701514304945813
80% Corpus,8,0.6,0.8999999999999999,0.4010107108704788
80% Corpus,8,0.6,symmetric,0.4104860690542769
80% Corpus,8,0.7,0.5,0.46434129032941174
80% Corpus,8,0.7,0.6,0.43449554012621094
80% Corpus,8,0.7,0.7,0.3960369874156931
80% Corpus,8,0.7,0.7999999999999999,0.4380303585406192
80% Corpus,8,0.7,0.8999999999999999,0.40305657258228766
80% Corpus,8,0.7,symmetric,0.4112791758285559
80% Corpus,8,0.7999999999999999,0.5,0.46873392393859814
80% Corpus,8,0.7999999999999999,0.6,0.44443542118426954
80% Corpus,8,0.7999999999999999,0.7,0.38938563409831795
80% Corpus,8,0.7999999999999999,0.7999999999999999,0.40867536702266616
80% Corpus,8,0.7999999999999999,0.8999999999999999,0.40235038302104575
80% Corpus,8,0.7999999999999999,symmetric,0.40670814512090864
80% Corpus,8,0.8999999999999999,0.5,0.46661955603331545
80% Corpus,8,0.8999999999999999,0.6,0.4385602150194977
80% Corpus,8,0.8999999999999999,0.7,0.39031966544016555
80% Corpus,8,0.8999999999999999,0.7999999999999999,0.38983380555574576
80% Corpus,8,0.8999999999999999,0.8999999999999999,0.4148867557677812
80% Corpus,8,0.8999999999999999,symmetric,0.4110978392407909
80% Corpus,8,symmetric,0.5,0.4684948868312297
80% Corpus,8,symmetric,0.6,0.4566389202375319
80% Corpus,8,symmetric,0.7,0.4417146965324886
80% Corpus,8,symmetric,0.7999999999999999,0.41940746299303133
80% Corpus,8,symmetric,0.8999999999999999,0.4447794028231587
80% Corpus,8,symmetric,symmetric,0.3962831315910055
80% Corpus,8,asymmetric,0.5,0.4332273105301919
80% Corpus,8,asymmetric,0.6,0.48813856546401724
80% Corpus,8,asymmetric,0.7,0.4804032443084358
80% Corpus,8,asymmetric,0.7999999999999999,0.49812531541711136
80% Corpus,8,asymmetric,0.8999999999999999,0.4565958388678766
80% Corpus,8,asymmetric,symmetric,0.3858672818963528
80% Corpus,9,0.5,0.5,0.43615516873022686
80% Corpus,9,0.5,0.6,0.3885189411659741
80% Corpus,9,0.5,0.7,0.36235036190121306
80% Corpus,9,0.5,0.7999999999999999,0.3352779978862706
80% Corpus,9,0.5,0.8999999999999999,0.38395986006973043
80% Corpus,9,0.5,symmetric,0.39230629494502356
80% Corpus,9,0.6,0.5,0.44025079736691075
80% Corpus,9,0.6,0.6,0.409654305454883
80% Corpus,9,0.6,0.7,0.33757538852945357
80% Corpus,9,0.6,0.7999999999999999,0.3561616612778767
80% Corpus,9,0.6,0.8999999999999999,0.3821141857361054
80% Corpus,9,0.6,symmetric,0.3889812076390519
80% Corpus,9,0.7,0.5,0.44696088513023446
80% Corpus,9,0.7,0.6,0.39362180286237214
80% Corpus,9,0.7,0.7,0.3512511302595012
80% Corpus,9,0.7,0.7999999999999999,0.36988167063182775
80% Corpus,9,0.7,0.8999999999999999,0.3969049778525697
80% Corpus,9,0.7,symmetric,0.41665174510937947
80% Corpus,9,0.7999999999999999,0.5,0.4414567019954249
80% Corpus,9,0.7999999999999999,0.6,0.4094865093931219
80% Corpus,9,0.7999999999999999,0.7,0.3319656124057598
80% Corpus,9,0.7999999999999999,0.7999999999999999,0.355758169091827
80% Corpus,9,0.7999999999999999,0.8999999999999999,0.40665100909335844
80% Corpus,9,0.7999999999999999,symmetric,0.36009734820623246
80% Corpus,9,0.8999999999999999,0.5,0.4538118702995455
80% Corpus,9,0.8999999999999999,0.6,0.40766939665806723
80% Corpus,9,0.8999999999999999,0.7,0.35667888031127837
80% Corpus,9,0.8999999999999999,0.7999999999999999,0.383321327306132
80% Corpus,9,0.8999999999999999,0.8999999999999999,0.43913223060189216
80% Corpus,9,0.8999999999999999,symmetric,0.4021833034709778
80% Corpus,9,symmetric,0.5,0.4155132876745718
80% Corpus,9,symmetric,0.6,0.3806988894866829
80% Corpus,9,symmetric,0.7,0.35356107773949436
80% Corpus,9,symmetric,0.7999999999999999,0.40693946109095686
80% Corpus,9,symmetric,0.8999999999999999,0.41630376200177466
80% Corpus,9,symmetric,symmetric,0.4418554338801527
80% Corpus,9,asymmetric,0.5,0.49724410338411207
80% Corpus,9,asymmetric,0.6,0.49867644612917317
80% Corpus,9,asymmetric,0.7,0.47968315772254944
80% Corpus,9,asymmetric,0.7999999999999999,0.4696060353562663
80% Corpus,9,asymmetric,0.8999999999999999,0.41304807321611525
80% Corpus,9,asymmetric,symmetric,0.4184056937545069
80% Corpus,10,0.5,0.5,0.4391444571069051
80% Corpus,10,0.5,0.6,0.4053026664930829
80% Corpus,10,0.5,0.7,0.36501972467788757
80% Corpus,10,0.5,0.7999999999999999,0.39026116003955547
